"Dominguez Perez, L.",2712,"Fressinet, L.",2700,1/2-1/2
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,"""]",e4 e5,Nf3 Nc6,Bb5 f5,Nc3 fxe4,Nxe4 Nf6,Nxf6+ Qxf6,Qe2 Be7,Bxc6 bxc6,Nxe5 Qe6,Nc4 d5,Qxe6 Bxe6,Ne5 Bf6,f4 Bxe5,d3 Rf8,b3 Rf5,Ba3 O-O-O,Rf1 Rh5,h3 Rd5,Kd2 c5,Rae1 Kd7,Kd1 Rdxe5,Rxe5 Rxe5,Bc1 Bd5,Rf2 Re6,Rf7+ Re7,Rxe7+ Kxe7,g3 Bg2,h4 Bf3+,Ke1 Ke6,Bf4 c6,Bb8 a6,Ba7,Kd2 Ke5 /2-1/
"Dominguez Perez, L.",2712,"Granda Zuniga, J.",2636,1/2-1/2
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,"""]",e4 e5,Nf3 Nc6,Bb5 Nf6,d3 d6,O-O Bd7,Re1 a6,Bxc6 Bxc6,c4,Nc3 O-O,d4 exd4,Nxd4 Bd7,Bf4 Re8,h3 c6,a4 a5,Qb3,Rad1 Qb6,Qc2 Raa8,Nf5 Bxf5,exf5 h6,Ne4 Nxe4,Rxe4,Rxe8+ Rxe8,b3 Be5,Bxe5 dxe5,Qd3 Qb4,f6 gxf6,Qg3+,Rd7 Re7,Rd8+ Re8 /2-1/
"Dominguez Perez, L.",2712,"Volokitin, And",2695,1/2-1/2,"""]"
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,"""]",e4 e5,Nf3 Nc6,Bb5 Nf6,d3 Bc5,c3 O-O,O-O d6,Nbd2 a6,Ba4,h3 Nh5,Bxc6 bxc6,Nxe5 dxe5,Qxh5 Qxd3,Qxe5 f5,Nb3,Be3 Bxe3,fxe3 Qxe3+,Kh2 Bxh3,gxh3 Rf2+,Rxf2 Qxf2+,Kh2 Qf2+ /2-1/
"Dominguez Perez, L.",2730,"Nepomniachtchi, I.",2718,1/2-1/2
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,"""]",e4 e6,d4 d5,Nc3 Nf6,e5 Nfd7,f4 c5,Nf3 Nc6,Be3 cxd4,Nxd4,Qd2 Qxb2,Rb1 Qa3,Bb5 Nxd4,Bxd4 a6,Bxd7+ Bxd7,Rb3 Qe7,Rxb7 Qh4+,Qf2 Be7,Qxh4 Bxh4+,Kd2 Bd8,Rhb1 Bc6,Rb8 Rxb8,Rxb8 O-O,Rc8 Bb7,Rb8 Bc6,Rc8 Bb7,Rb8 /2-1/
"Dominguez Perez, L.",2725,"Quesada Perez, Yu",2625,1/2-1/2
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,"""]",e4 e5,Nf3 Nc6,Bb5 Nf6,O-O Nxe4,d4 Nd6,Bxc6 dxc6,dxe5 Nf5,Qxd8+ Kxd8,Nc3 Ke8,h3 h5,Bg5 Be6,Rad1 Be7,Rd2 Rd8,Rxd2 h4,Bxe7 Nxe7,Ng5 Bc8,Ne2 Ng6,f4 Ne7,Ne4,Kf2 Ke7,Nd4 Nxd4,Rxd4 b6,Ng5 c5,Rd2 Bf5,Ke3 Rh6,Nf3 a5,Ng5 f6,Nf3 Kf7,Kf2 Ke7,Ke3 Kf7,Kf2 Ke7,Ke3 /2-1/
"Dominguez Perez, L.",2725,"Ivanchuk, V.",2764,0-1
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,"""]",e4 d5,exd5 Qxd5,Nc3 Qa5,d4 Nf6,Bd2 c6,Bd3 Bg4,f3 Bh5,Nf4 Bg6,Nxg6 hxg6,Qe2 e6,Ne4 Bb4,c3 Be7,g3,fxe4 Bg5,O-O Bxd2,Qxd2 c5,Qf2 O-O,e5 Rad8,Be4 cxd4,cxd4 Nb8,Rad1 Nc6,Rd3 Qb6,Rfd1 Rd7,Rb3 Qa6,Ra3 Qb5,Rf1 f5,b3 Rfd8,Ra4 c5,dxc5 Rd2,Qf3 Qxc5+,Kh1,Rc4 Qxa2,Rh4 g5,Rh5 g4,Qc6 Qxb3,Rg5 Rd1 0-1
"Dominguez Perez, L.",2725,"Ghaem Maghami, E.",2579,1/2-1/2,"""]"
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,"""]",e4 e5,Nf3 Nc6,Bb5 a6,Ba4 d6,O-O Nf6,Re1 Be7,c3 b5,Bb3,h3 Nb8,d4 Nbd7,Nbd2 Bb7,Bc2 Re8,Nf1 Bf8,Bg5 h6,N1h2 Bg7,Ng4 Qc8,d5 Nxg4,hxg4 c6,dxc6 Qxc6,Qe2,Bb3 Nc5,Bd5 Qb6,Bxb7 Qxb7,Rad1 Bf8,Nh2 b4,cxb4,Nf1 Ne6,b3 Nd4,Qd3 Nc2,Re2 Qb5,Ne3 Qxd3,Rxd3 Nxe3,Rexe3 Rc1+,Kh2 Rec8,Re2 Rb1,f3 Rcc1,Bf6 Rc8,Red2 g5,Rxd6 Rc5,Rxa6 Kh7,b4 Rxb4,Be7 Rbc4,Bxc5 Rxc5,a5 Ra2,Ra8 Kg7,Kg1 Ra1+,Kf2 Ra2+,Kg3 Kh7,Ra7 Kg7,Ra6 Kh7,Ra8 Kg7,a6 Kh7,Kh3 Kg7,Kh2 Ra1,Ra7 Kf6,g3,Kg2 Kg7,Kf2 Kf6,Ke2 Kg7,Ra8 Kh7,a7 Kg7,Kd2 Kf6,Kb2 Ra6,Kb3 Ra1,Kc4 Ra5,Kb4 Ra1,Kc5 Ra6,Kd5 Kf6,Kc5 Ke7,Kb5 Ra2,Kb6 Rb2+,Kc6 Ra2,Kc5 Ra3,Kb6 Rb3+,Rc8 Rxa7,Rc7+ Rxc7+,Kxc7 f6,Kc6 Ke6,Kb5 Kd7,Kb6,Kb5 Kd7,Kc5 Kc7 /2-1/
"Dominguez Perez, L.",2725,"Al Modiahki, M.",2542,1/2-1/2,"""]"
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
