"Anand, V.",2791,"Radjabov, T.",2761,1-0,e4 c5,Nf3 Nc6,d4 cxd4,Nxd4 Nf6,Nc3 e5,Ndb5 d6,Bg5 a6,Bxf6 gxf6,Nd5 Bg7,Bd3 Ne7,Nxe7 Qxe7,O-O O-O,c4 f5,Qf3 d5,cxd5 fxe4,Bxe4 Rb8,Rfd1 f5,d6 Qf6,Bc6 Be6,Qb3 Bf7,Nc2 Rxd6,Bxf7+ Rxf7,Rxd6 Qxd6,Ne3 f4,Nd5 Bf8,f3 Kh8,Nc3 Rg7,Rd2 Bc5+,Kf1 Bd4,Ne4 Rc7,Rc2 Rc6,Qd3 Kg7,b3 h6,g4 fxg3,hxg3 Qe6,Kg2 Qc8,Rxc6,Qd2 Qe6,g4 Qc6,Ng3 Kh7,Nf5 Bb6,Qd3 Kh8,Qe2 Bc7,Ne7 Qc5,Qd3+ Kh8,Qd7 e4,Qe8+ Kg7,Nf5+ Kf6,Qxe4,Kh3 h5,g5+ Kxg5,Ne7 Kf6,Nd5+ Kg7,Qe5+ Kh6,Qf6+ Kh7,Qf7+ Kh6,Ne7 1-0
"Anand, V.",2791,Wang Yue,2739,1-0,d4 d5,c4 c6,Nf3 Nf6,Nc3 a6,a4 e6,g3 dxc4,Bg2 c5,dxc5,Nxd1 Bxc5,Ne5 Nd5,Ne3 Nxe3,Bxe3 Bxe3,fxe3 c3,b4,Nd3 Rb8,O-O b5,axb5 Rxb5,Rfc1 Ne5,Nxe5 Rxe5,Rxc3,Bc6 Rd8,e4 Kf8,Kf2 Ke7,b5 axb5,Ra7+ Kf6,Rf3+ Kg6,Rfxf7 Rg8,Rfc7 Rh5,h4 Kf6,Ra8 Rc5,Rcxc8 Rxc8,Rxc8 b4,Bd7 1-0
"Anand, V.",2791,"Leko, P.",2751,1-0,e4 e5,Nf3 Nc6,Bb5 a6,Ba4 Nf6,O-O Be7,Re1 b5,Bb3 O-O,c3,h3 Nb8,d4 Nbd7,Nbd2 Bb7,Bc2 Re8,a4 Bf8,Bd3 c6,b3,Ba3 Qc7,Qc2 Bg7,Rad1 Rac8,Bb2 Nh5,Bf1 bxa4,bxa4 d5,dxe5 Nxe5,Nxe5 Bxe5,c4 dxe4,c5 Bxb2,Qxb2 e3,fxe3 Rcd8,Nc4 Rxd1,Rxd1 Qe7,Nd6 Rd8,Qd4 Rf8,Bc4 Bc8,Rb1 Ng3,Bxf7+ Rxf7,Qh8+ 1-0
"Anand, V.",2791,"Kamsky, G.",2725,1-0,e4 e5,Nf3 Nc6,Bb5 a6,Ba4 Nf6,O-O Be7,Re1 b5,Bb3 d6,c3,h3 Nb8,d4 Nbd7,Nbd2 Bb7,Bc2 Re8,a4 Bf8,Bd3 c6,b3,Ba3 Nh5,Bf1 Nf4,Qc2 exd4,cxd4 Rc8,Rad1 Qb6,b4 Ne6,Nb3 Bg7,Bb2 bxa4,Na5 c5,Qxa4 Qc7,Qa1 Rb8,d5 Bxb2,Qc3 Ba8,Rb1 Qb6,b5 axb5,Bxb5 Qc7,Nc4 Red8,Rb3 Ra7,Ra1 Nb6,Rxa7 Qxa7,Ra3 Qb8,Qa5 Nxc4,Rb3 Qc8,Rg3 h6,h4 Ng6,hxg5 h5,Rf3 h4,Qa7 Rf8,Nxd6 Qg4,Rxf7 Qd1+,Bf1 1-0
"Anand, V.",2791,"Radjabov, T.",2761,1-0,e4 c5,Nf3 Nc6,Bb5 g6,Bxc6 dxc6,d3 Bg7,h3 b6,O-O e5,a3,Be3 Ne7,Nbd2 a4,b4 axb3,Nxb3 f5,a4 f4,Bd2 Qd6,Bc3,Qb1 g5,Qb2 Ng6,Nbd2 b5,axb5 cxb5,Ra7 Bf6,Ba5 Qc6,Rc7 Qd6,Nc4 Qe6,Rxc5 O-O,Bc7 Rb7,Na5 Ra7,Qxb5 Bd7,Bxb6 Ra6,Nc4 g4,hxg4 Bxg4,Nfd2 Rc8,Rxc8+ Bxc8,Rb1 f3,g3 Bg5,Rb6 Rxa5,Nxa5 Bxd2,Rxe6 Bxa5,Rf6,Ra6 Bb4,Rc6 h5,c3 Be7,d4 h4,Kh2 Bg5,d5 Be3,fxe3,Kg2 hxg3,Ra6 Nh4+,Kf1 Nf3,Ra1 Kf7,c4 Nd2+,Kg2 Nxe4,c5 Nxc5,Kxg3 Ne4+,Kg2 Ke7,Ra6 Nc5,Rc6 Ne4,Re6+ Kd7,e4 Ng4,Rf5 Kd6,Rxf2 Ke5,Kg3 1-0
"Anand, V.",2791,"Kramnik, V.",2759,1-0,e4 e5,Nf3 Nf6,d4 Nxe4,Bd3 d5,Nxe5 Nd7,Nxd7 Bxd7,O-O Bd6,cxd5 cxd5,Nc3 Nxc3,bxc3 O-O,Qh5 g6,Qxd5 Qc7,Bh6,h4 Be6,Qg5 Qxc3,Rfd1 Bf8,Bxf8 Rd5,Qf6 Rxf8,Be4 Rh5,Rac1 Qa5,f3 Rb5,a4 Rb6,d5 Bf5,d6 Bxe4,fxe4 Qxa4,h5,Qe7 Qb4,h6 Rc6,Qf6 1-0
"Anand, V.",2791,"Ivanchuk, V.",2779,1-0,e4 e6,d4 d5,Nc3 Bb4,e5 c5,a3 Bxc3+,bxc3 Ne7,Qg4 Qc7,Qxh7 cxd4,Ne2 Nbc6,f4 Bd7,Qd3 dxc3,Nxc3 a6,Ne2,g3 d4,Qc4 Nf5,Bg2 Na5,Qxc7+ Kxc7,Rb1 Bc6,Bxc6,Kf2 d3,cxd3 Rxd3,Rg1 Rh8,h4 Nc4,a4 b6,Ra1 Kd5,Re1 Nh6,Kg2 Ng4,Ng1+ Kf5,Nf3 a5,Ng5 Kg6,Rae2,f5+ exf5,e6 f6,e7 Re8,h5+ Kxh5,Ne6 Kg6,Nc7 Kf7,Re6 Rc3,Bf4 Rc2+,Kg1 Nce5,Bxe5 Nxe5,Re3 Nd7,Kg2 1-0
"Anand, V.",2790,"Ivanchuk, V.",2749,1/2-1/2
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,"""]",e4 c5,Nf3 Nc6,d4 cxd4,Nxd4 g6,c4 Nf6,Nc3 d6,Be2 Nxd4,Be3 O-O,Qd2 a5,O-O a4,Bd4 Bd7,Rfe1 Bc6,Qe3 Nd7,Bxg7 Kxg7,Nd5 e6,Nc3 Qb6,Qd2 Rfd8,Rad1 Nf6,Bf1 h5,h3 Rad8,Qc2 Kh7,Rf3 Kg7,Re3 Kh7 /2-1/
"Anand, V.",2787,"Topalov, V.",2805,1/2-1/2
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,"""]",d4 Nf6,c4 e6,Nf3 d5,g3 dxc4,Bg2 a6,Ne5 c5,Na3 cxd4,O-O O-O,Bg5 h6,Bxf6 Qxf6,Nd3 Ba7,Qa4 Nc6,Rac1,Bxc6 b5,Qc2 Qxc6,Ncxe5 Qe4,Qc6 Bb7,Qxe4 Bxe4,Rc2,Rfc1 f6,Nd7 Bf5,N7c5 Bb6,Nb7 Bd7,Nf4 Rab8,Nd6 Re5,Nc8 Ba5,Nd3 Re8,Na7 Bb6,Nc6 Rb7,Ncb4 a5,Nd5 a4,Nxb6,Nc5 Bf5,Rd2 Rc6,b4 axb3,axb3 b4,Rxd4 Rxe2,Rxb4 Bh3,Rbc4 Rd6,Re4 Rb2,Ree1 Rdd2,Ne4 Rd4,Nc5 Rdd2,Ne4 Rd3,Nd2 Rb4,f3 g5,Rxb2 Rxb2,Rd1 Kf7,Kf2 h5,Ke3,Ra1 Kg6,Ra6 Bf5,Rd6 Rc3+,Kf2 Rc2,Ke3 Rc3+,Kf2 Rc2
"Anand, V.",2787,"Topalov, V.",2805,1/2-1/2
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,"""]",d4 Nf6,c4 e6,Nf3 d5,g3 Bb4+,Bd2 Be7,Bg2 O-O,O-O c6,Bf4,Ne5 b5,Nxc6 Nxc6,Bxc6 Bd7,Bxa8 Qxa8,f3 Nd5,Bd2 e5,e4 Bh3,exd5 Bxf1,Qxf1 exd4,a4 Qxd5,axb5 Qxb5,Rxa7 Re8,Kh1 Bf8,Rc7 d3,Bc3 Bd6,Ra7 h6,Nd2 Bb4,Ra1 Bxc3,bxc3,Rd1 Qa4,Ne4 Qc2,Rc1 Rxh2+,Kg1 Rg2+,Qxg2 Qxc1+,Qf1,Qf2 Qc1+,Qf1 Qe3+,Kg2 f5,Nf2 Kh7,Qb1 Qe6,Qb5 g5,g4 fxg4,fxg4 Kg6,Qb7 d2,Qb1+ Kg7,Kf1 Qe7,Kg2 Qe6,Qf3 Qe6,Qb7+ Kg6,Qb1+ Kg7,Qd1 Qe3,Qc2 Qe2,Qa4,Qd7 Kf8,Qd5 Kg7,Kg3 Qe3+,Qf3 Qe5+,Kg2 Qe6,Qd1
"Anand, V.",2787,"Topalov, V.",2805,1/2-1/2
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,"""]",d4 Nf6,c4 e6,Nc3 Bb4,e3 O-O,Bd3 c5,Nf3 d5,O-O cxd4,exd4,Bxc4 b6,Bg5 Bb7,Re1 Nbd7,Rc1 Rc8,Bd3 Re8,Qe2 Bxc3,bxc3 Qc7,Bh4 Nh5,Ng5 g6,Nh3 e5,f3 Qd6,Bf2 exd4,Rxe8+ Nf8,cxd4 Nf6,Ree1 Ne6,Bc4 Bd5,Bg3 Qb4,a3 Qa4,Bxd5 Nxe5,Bxe6 Qxd4+,Kh1 fxe6,Ng5 Qd6,Rc3 Qb2,h4 b5,Rc8+ Kg7,Rc7+ Kf8,Ng5 Ke8,Rxh7,Rh8+ Kd7,Rh7+ Kc6,Re4 b4,Nxe6 Kb6,Nf4 Qa1+,Kh2 a5,h5 gxh5,Rxh5 Nc6,Nd5+ Kb7,Rh7+ Ka6,Re6 Kb5,Rh5 Nd4,Rd6 Kb7,Nc4 Nxf3+,gxf3 Qa2+,Nd2 Kc7,Rhd5 b3,Rd8+ Kc7,R8d7+ Kc8,Rg7 a4,Rc5+ Kb8,Rd5 Kc8,Kg3,Rg4 b2,Rc4+ Kb7,Kf2 b1=Q,Nxb1 Qxb1,Rdd4 Qa2+,Kg3 a3,Rc3 Qa1,Rb4+ Ka6,Ra4+ Kb5,Rcxa3 Qg1+,Kf4 Qc1+,Kf5 Qc5+,Ke4 Qc2+,Ke3 Qc1+,Kf2 Qd2+,Kg3 Qe1+,Kf4 Qc1+,Kg3 Qg1+,Kf4 /2-1/
"Anand, V.",2787,"Topalov, V.",2805,1/2-1/2
N/A,N/A,N/A,N/A,N/A
