Emanuel Lasker,?,Leon L Labatt,?,1-0,1,e4 e6
Emanuel Lasker,?,Leon L Labatt,?,1-0,2,d4 d5
Emanuel Lasker,?,Leon L Labatt,?,1-0,3,Nc3 Nf6
Emanuel Lasker,?,Leon L Labatt,?,1-0,4,e5 Nfd7
Emanuel Lasker,?,Leon L Labatt,?,1-0,5,f4 c5
Emanuel Lasker,?,Leon L Labatt,?,1-0,6,dxc5 Bxc5
Emanuel Lasker,?,Leon L Labatt,?,1-0,7,Qg4 O-O
Emanuel Lasker,?,Leon L Labatt,?,1-0,8,Bd3 f5
Emanuel Lasker,?,Leon L Labatt,?,1-0,9,Qh3 Rf7
Emanuel Lasker,?,Leon L Labatt,?,1-0,10,g4 g6
Emanuel Lasker,?,Leon L Labatt,?,1-0,11,gxf5 gxf5
Emanuel Lasker,?,Leon L Labatt,?,1-0,12,Nf3 Nf8
Emanuel Lasker,?,Leon L Labatt,?,1-0,13,Bd2 Bd7
Emanuel Lasker,?,Leon L Labatt,?,1-0,14,O-O-O Na6
Emanuel Lasker,?,Leon L Labatt,?,1-0,15,Ng5 Rg7
Emanuel Lasker,?,Leon L Labatt,?,1-0,16,Bxf5 exf5
Emanuel Lasker,?,Leon L Labatt,?,1-0,17,Nxd5 Nc7
Emanuel Lasker,?,Leon L Labatt,?,1-0,18,Ba5 b6
Emanuel Lasker,?,Leon L Labatt,?,1-0,19,e6 Ncxe6
Emanuel Lasker,?,Leon L Labatt,?,1-0,20,Bc3 Nxg5
Emanuel Lasker,?,Leon L Labatt,?,1-0,21,fxg5 Qe8
Emanuel Lasker,?,Leon L Labatt,?,1-0,22,Rhe1 Qf7
Emanuel Lasker,?,Leon L Labatt,?,1-0,23,Nf6+ Kh8
Emanuel Lasker,?,Leon L Labatt,?,1-0,24,Nxd7 Nxd7
Emanuel Lasker,?,Leon L Labatt,?,1-0,25,g6
Emanuel Lasker,?,Martin D McGrath,?,1-0,1,d4 d5
Emanuel Lasker,?,Martin D McGrath,?,1-0,2,Nf3 Nc6
Emanuel Lasker,?,Martin D McGrath,?,1-0,3,c4 e6
Emanuel Lasker,?,Martin D McGrath,?,1-0,4,Nc3 Nf6
Emanuel Lasker,?,Martin D McGrath,?,1-0,5,Bg5 Be7
Emanuel Lasker,?,Martin D McGrath,?,1-0,6,e3 h6
Emanuel Lasker,?,Martin D McGrath,?,1-0,7,Bh4 a6
Emanuel Lasker,?,Martin D McGrath,?,1-0,8,Rc1 O-O
Emanuel Lasker,?,Martin D McGrath,?,1-0,9,Bd3 dxc4
Emanuel Lasker,?,Martin D McGrath,?,1-0,10,Bxc4 Nd5
Emanuel Lasker,?,Martin D McGrath,?,1-0,11,Bxe7 Ndxe7
Emanuel Lasker,?,Martin D McGrath,?,1-0,12,O-O Nd5
Emanuel Lasker,?,Martin D McGrath,?,1-0,13,e4 Nxc3
Emanuel Lasker,?,Martin D McGrath,?,1-0,14,bxc3 Qe7
Emanuel Lasker,?,Martin D McGrath,?,1-0,15,Re1 e5
Emanuel Lasker,?,Martin D McGrath,?,1-0,16,Bd5 Bg4
Emanuel Lasker,?,Martin D McGrath,?,1-0,17,h3 Bxf3
Emanuel Lasker,?,Martin D McGrath,?,1-0,18,Qxf3 Na5
Emanuel Lasker,?,Martin D McGrath,?,1-0,19,a4 c6
Emanuel Lasker,?,Martin D McGrath,?,1-0,20,Ba2 Rad8
Emanuel Lasker,?,Martin D McGrath,?,1-0,21,Rcd1 exd4
Emanuel Lasker,?,Martin D McGrath,?,1-0,22,cxd4 Qb4
Emanuel Lasker,?,Martin D McGrath,?,1-0,23,e5 Rxd4
Emanuel Lasker,?,Martin D McGrath,?,1-0,24,e6 Rxd1
Emanuel Lasker,?,Martin D McGrath,?,1-0,25,exf7+ Kh7
Emanuel Lasker,?,Martin D McGrath,?,1-0,26,Qxd1 b5
Emanuel Lasker,?,Martin D McGrath,?,1-0,27,Re8 Nc4
Emanuel Lasker,?,Martin D McGrath,?,1-0,28,Qb1+
Emanuel Lasker,?,Frederick Intropidi,?,1-0,1,e4 c5
Emanuel Lasker,?,Frederick Intropidi,?,1-0,2,Nf3 Nc6
Emanuel Lasker,?,Frederick Intropidi,?,1-0,3,d4 cxd4
Emanuel Lasker,?,Frederick Intropidi,?,1-0,4,Nxd4 e6
Emanuel Lasker,?,Frederick Intropidi,?,1-0,5,Be2 Be7
Emanuel Lasker,?,Frederick Intropidi,?,1-0,6,Nc3 d5
Emanuel Lasker,?,Frederick Intropidi,?,1-0,7,exd5 exd5
Emanuel Lasker,?,Frederick Intropidi,?,1-0,8,O-O Nf6
Emanuel Lasker,?,Frederick Intropidi,?,1-0,9,Bf3 O-O
Emanuel Lasker,?,Frederick Intropidi,?,1-0,10,Be3 Ne5
Emanuel Lasker,?,Frederick Intropidi,?,1-0,11,Re1 Nc6
Emanuel Lasker,?,Frederick Intropidi,?,1-0,12,Nce2 Bg4
Emanuel Lasker,?,Frederick Intropidi,?,1-0,13,Ng3 Bxf3
Emanuel Lasker,?,Frederick Intropidi,?,1-0,14,Qxf3 Ne5
Emanuel Lasker,?,Frederick Intropidi,?,1-0,15,Qd1 Re8
Emanuel Lasker,?,Frederick Intropidi,?,1-0,16,Ndf5 Bf8
Emanuel Lasker,?,Frederick Intropidi,?,1-0,17,Bg5 Ned7
Emanuel Lasker,?,Frederick Intropidi,?,1-0,18,Qd4 Bc5
Emanuel Lasker,?,Frederick Intropidi,?,1-0,19,Qh4 Qb6
Emanuel Lasker,?,Frederick Intropidi,?,1-0,20,Be3 Ne5
Emanuel Lasker,?,Frederick Intropidi,?,1-0,21,Bxc5 Qxc5
Emanuel Lasker,?,Frederick Intropidi,?,1-0,22,Nh6+ Kf8
Emanuel Lasker,?,Frederick Intropidi,?,1-0,23,Nh5 Ng6
Emanuel Lasker,?,Frederick Intropidi,?,1-0,24,Nxf6 Rxe1+
Emanuel Lasker,?,Frederick Intropidi,?,1-0,25,Rxe1 gxf6
Emanuel Lasker,?,Frederick Intropidi,?,1-0,26,Qxf6 Qc7
Emanuel Lasker,?,Frederick Intropidi,?,1-0,27,Nf5
Emanuel Lasker,?,D J Finlay,?,1-0,1,e4 e6
Emanuel Lasker,?,D J Finlay,?,1-0,2,d4 d5
Emanuel Lasker,?,D J Finlay,?,1-0,3,Bd3 dxe4
Emanuel Lasker,?,D J Finlay,?,1-0,4,Bxe4 Nf6
Emanuel Lasker,?,D J Finlay,?,1-0,5,Bf3 c5
Emanuel Lasker,?,D J Finlay,?,1-0,6,Ne2 cxd4
Emanuel Lasker,?,D J Finlay,?,1-0,7,Qxd4 Be7
Emanuel Lasker,?,D J Finlay,?,1-0,8,Be3 O-O
Emanuel Lasker,?,D J Finlay,?,1-0,9,Nbc3 Qxd4
Emanuel Lasker,?,D J Finlay,?,1-0,10,Nxd4 a6
